datahora,satelite,pais,estado,municipio,bioma,diasemchuva,precipitacao,riscofogo,latitude,longitude,frp
2021/06/15 17:15:00,AQUA_M-T,Brasil,MINAS GERAIS,LAVRAS,Mata Atlantica,4,0,1,-21.263,-45.022,17.2
2021/06/15 17:15:00,AQUA_M-T,Brasil,MATO GROSSO DO SUL,ANTONIO JOAO,Cerrado,5,0,0.9,-22.226,-56.276,22.5
2021/06/15 17:15:00,AQUA_M-T,Brasil,PARANA,ASTORGA,Mata Atlantica,4,0,0.3,-23.109,-51.673,8.7
2021/06/15 17:15:00,AQUA_M-T,Brasil,SAO PAULO,FRANCISCO MORATO,Mata Atlantica,4,0,0.1,-23.262,-46.661,22.1
2021/06/15 17:15:00,AQUA_M-T,Brasil,PARANA,APUCARANA,Mata Atlantica,4,0,0.3,-23.585,-51.41,4
2021/06/15 17:15:00,AQUA_M-T,Brasil,PARANA,ARARUNA,Mata Atlantica,4,0,0.8,-23.951,-52.532,9
2021/06/15 17:15:00,AQUA_M-T,Brasil,PARANA,ARARUNA,Mata Atlantica,4,0,0.8,-23.952,-52.542,9.1
2021/06/15 17:15:00,AQUA_M-T,Brasil,PARANA,PEABIRU,Mata Atlantica,4,0,0.8,-23.954,-52.164,5.4
2021/06/15 17:15:00,AQUA_M-T,Brasil,PARANA,GRANDES RIOS,Mata Atlantica,4,0,0.6,-24.2,-51.398,13.5
2021/06/15 17:15:00,AQUA_M-T,Brasil,PARANA,VENTANIA,Mata Atlantica,4,0,0.4,-24.37,-50.265,8
2021/06/15 17:15:00,AQUA_M-T,Brasil,PARANA,VENTANIA,Mata Atlantica,4,0,0.4,-24.371,-50.276,10.8
2021/06/15 17:15:00,AQUA_M-T,Brasil,PARANA,VENTANIA,Mata Atlantica,4,0,0.4,-24.377,-50.268,10.3
2021/06/15 17:15:00,AQUA_M-T,Brasil,PARANA,PALMITAL,Mata Atlantica,4,0,0.9,-24.893,-52.241,12.5
2021/06/15 17:15:00,AQUA_M-T,Brasil,PARANA,PALMITAL,Mata Atlantica,5,0,0.9,-24.895,-52.251,10.1
2021/06/15 17:15:00,AQUA_M-T,Brasil,PARANA,TUNAS DO PARANA,Mata Atlantica,4,0,0.1,-24.985,-49.028,6.5
2021/06/15 17:15:00,AQUA_M-T,Brasil,PARANA,GOIOXIM,Mata Atlantica,4,0,0.9,-24.995,-52.117,10
2021/06/15 17:15:00,AQUA_M-T,Brasil,PARANA,IVAI,Mata Atlantica,4,0,0.3,-25.057,-50.913,7.6
2021/06/15 17:15:00,AQUA_M-T,Brasil,PARANA,IVAI,Mata Atlantica,4,0,0.3,-25.059,-50.923,8.1
2021/06/15 17:15:00,AQUA_M-T,Brasil,PARANA,GUARAPUAVA,Mata Atlantica,4,0,0.4,-25.14,-51.342,7.7
2021/06/15 17:15:00,AQUA_M-T,Brasil,PARANA,GUARAPUAVA,Mata Atlantica,4,0,0.2,-25.142,-51.352,4.9
2021/06/15 17:15:00,AQUA_M-T,Brasil,PARANA,IBEMA,Mata Atlantica,4,0,0.7,-25.162,-53.051,5.2
2021/06/15 17:15:00,AQUA_M-T,Brasil,PARANA,BOCAIUVA DO SUL,Mata Atlantica,4,0,0,-25.233,-49.046,18.7
2021/06/15 17:15:00,AQUA_M-T,Brasil,PARANA,BOCAIUVA DO SUL,Mata Atlantica,4,0,0,-25.235,-49.057,8
2021/06/15 17:15:00,AQUA_M-T,Brasil,PARANA,PRUDENTOPOLIS,Mata Atlantica,3,1.7,0.1,-25.355,-51.058,6.5
2021/06/15 17:15:00,AQUA_M-T,Brasil,PARANA,ESPIGAO ALTO DO IGUACU,Mata Atlantica,4,0,1,-25.361,-52.758,10.2
2021/06/15 17:15:00,AQUA_M-T,Brasil,PARANA,QUEDAS DO IGUACU,Mata Atlantica,4,0,0.7,-25.371,-53.036,6.5
2021/06/15 17:15:00,AQUA_M-T,Brasil,PARANA,QUEDAS DO IGUACU,Mata Atlantica,4,0,1,-25.373,-53.046,4.5
2021/06/15 17:15:00,AQUA_M-T,Brasil,PARANA,IRATI,Mata Atlantica,3,0.3,0.8,-25.534,-51.023,14.4
2021/06/15 17:15:00,AQUA_M-T,Brasil,PARANA,IRATI,Mata Atlantica,3,0.3,0.3,-25.535,-51.033,29
2021/06/15 17:15:00,AQUA_M-T,Brasil,PARANA,RIO AZUL,Mata Atlantica,4,0,0.5,-25.699,-50.897,11
